HILLARY CLINTON,-1_LLARY_CLINTON
HILLARY CLINTON,-HLLARY_CLINTON
HEIDI S MESSNER,-IEIDI_S__MESSNER
HILLARY CLINTON,-IILLARY_CLINTON
LORETTA L SANCHEZ,-ORETTA_L__SANCHEZ
LORETTA L SANCHEZ,-ORE_ITA_L__SANCHEZ
LORETTA L SANCHEZ,-ORE_lTA_L__SANCHEZ
HEIDI S MESSNER,-_EIDI_S__MESSNER
HILLARY CLINTON,-__LLARY_CLINTON
05 5 /NO ,05_5_____/NO__
1,1
152 w,152_w
HEIDI S MESSNER,1E_D__S__MESSNER
HILLARY CLINTON,1_LLARY_CLINTON
GARY JOHNSON,3-ARY_JOHNSON
GLORIA ESTELA LA RIVA,3-LORIA_ESTELA_LA_RIVA
GARY JOHNSON,3ARY_JOHNSON
GARY JOHNSON,3ARY_JOH_NSON
3AUL PITINO,3AUL_PITINO
GLORIA ESTELA LA RIVA,3LOR_A_ESTELA_LA_RIVA
GLORIA ESTELA LA RIVA,3LORlA_ESTELA_LA_RIVA
BONDS NO,3ONDS_NO
BONDS YES,3ONDS_YES
53,53_
7,7
963 M ,963_M_
ADELENE JONES,ADELENE_JONES
AUSTIN ALLISON,AUSTIN_ALLISON
AUSTIN ALLISON,AUST_N_ALLISON
A I-C /ILO ,A_I-C_____/ILO__
GARY JOHNSON,BARY_JOHNSON
GLORIA ESTELA LA RIVA,BLORIA_ESTELA_LA_RIVA
BONDS NO,BONDS_NO
BONDS NO ,BONDS_NO__
BONDS NO ,BONDS_No_____
BONDS YES,BONDS_YES
BONDS YES ,BONDS_YES__
BRYAN K RICHTER,BRYAN_K__RICHTER
DALE K MENSING,DALE_K__MENSING
DALE K MENSING,DALE_K__MENS_NG
DALE K MENSING,DALE_K__MENSlNG
DANIEL BROWN,DANIEL_BROWN
DANIEL MURPHY,DANIEL_MURPHY
DEAN J GLASER,DEAN_J__GLASER
DONALD J TRUMP,DONALD_J__TRUMP
DON HINDLEY,DON_HINDLEY
BONDS NO,EONDS_NO___-____Veg
FRANK WILSON,FRANK_WILSON
GARY JOHNSON,GARY_JOHNSON
GARY JOHNSON,GARY_JOHNSON_A
GLORIA ESTELA LA RIVA,GLORIA_ESTELA_LA_RIVA
GLORIA ESTELA LA RIVA,GLORIA_ESTELA_LA_RIVA_I
GLORIA ESTELA LA RIVA,GLOR_A_ESTELA_LA_RIVA
NO,H0
HEIDI S MESSNER,HEIDI_S__MESSNER
HILLARY CLINTON,HILLARY_CLINTON
HILLARY CL NTON,HILLARY_CL_NTON
NO,HO
HILLARY CLINTON,H_LLARY_CLINTON
H ,H___
I,I
JARED W HUFFMAN,IARED_W__HUFFMAN
IE3,IE3
JlLL STEIN,IILL_STEIN
IIM WOOD,IIM_WOOD
IO,IO
Ict,Ict
Ill Alf f l ,Ill__Alf__f_l____
Incorrect,Incorrect
Incorrect,Incorretgt
Incorrect,Incortect
J0,J0
JACK WEST,JACK_WEST
JARED W HUFFMAN,JARED_W__HUFFMAN
JARED W HUFFMAN,JARED_W__HU_FFMAN
JARED W HUFFMAN,JARED_W__H_UFFMAN
JARED W HUFFMAN,JARED_W__H_U_FFMAN
JlLL STEIN,JILL_STEIN
JIM WOOD,JIM_WOOD
NO,JO
JOHN B FULLERTON,JOHN_B__FULLERTON
JlLL STEIN,J_LL_STEIN
JIM WOOD,J_M_WOOD
JlLL STEIN,JlLL_STEIN
JlM WOOD,JlM_WOOD
KAMALA D HARRIS,KAMALA_D__HARRIS
KAMALA D HARRIS,KAMALA_D__HARRIS__
KAMALA D HARRIS,KAMALA_D__HARR_S
KEN ANTON,KEN_ANTON
KEN ANTON,KEN_ANTON_A
KIIW,KIIW
LORETTA L SANCHEZ,LORE1TA_L__SANCHEZ
LORETTA L SANCHEZ,LORETFA_L__SANCHEZ
LORETTA L SANCHEZ,LORETTA_L__SANCHEZ
LORETTA L SANCHEZ,LORETTA_L__SANCH_EZ
LORETTA L SANCHEZ,LOREWA_L__SANCHEZ
LORETTA L SANCHEZ,LORE_____A_L__SANCHEZ
L 1 ,L_1_
Lnfs,Lnfs
MD A,MD_A
MD a,MD_a
MICHAEL WINKLER,MICHAEL_WINKLER
NO,MO
NO,N0_
NO,N0_V
NO,N10
NO ,N9_
NO,NIO
NO,NO
NO,NO-V
NO,NOK
NO,NO_
NO,NO_M_
NO,NO__
NO,NO__1
NO,NO_g____u_
NO,NO_h_
NO,NO_h____
NO,NV
NO,N_O__
No YES,No______YES
Write-in,Nrite-in
Write-in,Nrite___in
PATRICK O ROURKE,PATRICK_O_ROURKE
PAUL PITINO,PAUL_PITINO
AUSTIN ALLISON,RUSTIN_ALLISON
GARY JOHNSON,SARY_JOHNSON
GLORIA ESTELA LA RIVA,SLORIA_ESTELA_LA_RIVA
BONDS NO,SONDS_NO
STEVE LADWIG,STEVE_LADWIG
STEVE NUNES,STEVE_NUNES
STEVE NUNES,STEVE_NU_N_ES
SUSAN ORNELAS,SUSAN_ORNE-IJXS
SUSAN ORNELAS,SUSAN_ORNELAS
SUSAN ORNELAS,SUSAN_ORN_ELAS
SUSAN STRAHAN,SUSAN_STRAHAN
TAMI TRENT,TAMI_TRENT
TAMI TRENT,TAM__TRENT
YES,V55
VALERIE ROSE-CAMPBELL,VALERIE_ROSE-CAMPBELL
VALERIE ROSE-CAMPBELL,VALERIE_ROSE___CAMPBELL
VALERIE ROSE-CAMPBELL,VALERIE_ROS_E-CAMPBELL
VV -iteqn ,VV_-iteqn____
Write-in,Write-in
Write-in,Write-in_I
Write-in,Write-in_U
Write-in,Write-in_V
Write-in,Write-in__
Write-in,Write-in___
Write-in,Write-in___I
Write-in,Write-in____
Write-in,Write-in_____4____ID
Write-in,Write-in________I
Write-in,Write-in_v_4__
Write-in,Write-ip
Write-in,Write___in
Write-in,Write_in
YES,YED
YES,YES
YES,YES_3_-
YES,YES_7
YES,YES_9
YES,YES__
YES,YES___
YES,YES___-4
YES,YES____
YES,YES______
YES,YES___in
YES,YES_ammo
Yh ,Yh___
,_
NO ,_10
NO ,_1O
 4 u uuuu ,_4__u_uuuu___
5,_5
6,_6_
DALE K MENSING,_ALE_K__MENSING
KAMALA D HARRIS,_AMALA_D__HARRIS
TAMI TRENT,_AMI_TRENT
YES,_E5
YES,_E5__
DEAN J GLASER,_EAN_J__GLASER
KEN ANTON,_EN_ANTON
YES,_ES
YES,_ES_6__Ycs
YES,_ES__
YES,_Es__
HILLARY CLINTON,_I_LLARY_CLINTON
NO ,_JO
DONALD J TRUMP,_ONALD_J__TRUMP
LORETTA L SANCHEZ,_ORETI_A_L__SANCHEZ
LORETTA L SANCHEZ,_ORETTA_L__SANCHEZ
LORETTA L SANCHEZ,_ORET__A_L__SANCHEZ
LORETTA L SANCHEZ,_ORETl_A_L__SANCHEZ
LORETTA L SANCHEZ,_ORE_ITA_L__SANCHEZ
LORETTA L SANCHEZ,_ORE___I_A_L__SANCHEZ
LORETTA L SANCHEZ,_ORE___TA_L__SANCHEZ
LORETTA L SANCHEZ,_ORE_____A_L__SANCHEZ
LORETTA L SANCHEZ,_ORE___l_A_L__SANCHEZ
LORETTA L SANCHEZ,_ORE_lTA_L__SANCHEZ
 Q5 5 L ,_Q5_______5_L__
 W,_W
MICHAEL WINKLER /Incumbent ,__1_CHAEL_WINKLER__/Incumbent__
VALERIE ROSE-CAMPBELL,__ALERIE_ROSE-CAMPBELL__/Play_Group_Facilitator__
 O,__O
 W ,__W_____
,___
JlLL STEIN,___ILL_STEIN
 IO,___IO
 IO ,___IO__
 JO,___JO
 Q,___Q
3,____03
3,____03_
4,____4
5,____5
 7 sw W ,____7_sw_W___
,______
,__________
 x,____x
 g 1295 ,__g__1295__
 n,__n
 o3 4 ,__o3______4___
 g9,_g9
NO ,_lO
NO ,_lQ___
 n n,_n___n
 n r ,_n___r_
 zLl CA,_zLl_____CA
an uuuuu ,an_uuuuu___
gas ,gas__
kIf ,kIf____________
l M WOOD,l_M_WOOD
lct,lct
Incorrect,lncortect
Incorrect,lncotrect
VALERIE ROSE-CAMPBELL,n_ALERIE_ROSE-CAMPBELL__/Play_Group_Facilitator__
KEN ANTON,r_EN_ANTON
s O,s_O
u u uuuu ,u__u_uuuu___
us ,us___
vE ,vE__
vylgtfllt nr 0 L ,vylgtfllt_nr_0___L_
wuuu ,wuuu_